92,9099554443359
1,19514587402344
-21,2910888671875
-113,848723144531
46,3357788085937
-55,214541015625
-36,3036572265625
19,6361328125
-66,9449072265625
-52,8234228515625
77,5618212890625
-50,78486328125
-62,83578125
108,193662109375
-117,4601953125
41,0126171875
-109,5863671875
-35,9144140625
71,26681640625
-18,3296875
101,91962890625
-136,740625
70,22248046875
-103,780390625
-35,161953125
30,606640625
130,03654296875
-150,899375
18,71041015625
-80,94701171875
-58,588671875
-46,3090625
-0,983359375000005
84,03759765625
-56,5015625
-137,04228515625
-94,50880859375
-91,7414453125
-82,516953125
-153,607578125
78,4959765625
-100,3564453125
53,48453125
-60,7428125
63,464140625
9,21667968749999
-98,0271875
-143,6994140625
-87,5083984375
-170,844140625
-116,786171875
41,619296875

