30,75
31,47
32,57
33,58
33,86
34,2
34,41
34,48
34,48
35,12
35,36
35,51
35,57
35,72
35,99
35,99
36,16
36,04
36,42
36,77
37,01
36,98
37,22
37,42
38,14
39,22
40,02
39,88
38,92
37,71
35,5
33,61
30,53
28,38
26,36
24,5
22,65
21,39
20,25
19,63
19,44
19,22
19,14
19,2
19,34
19,7
20,15
20,37
20,6
20,84
20,88
21,34
21,35
21,43
21,61
22,4
22,56
22,41
22,38
22,47
22,52
22,62
22,96
23,14
23,27
23,33
23,83
24,36
24,7
25,62
26,49
27,41
28,96
29,95
31,17
32,69
33,66
35,16
36,19
37,99
38,91
40,19
40,42
39,4
37,48
35,46
33,91
32,21
30,78
30,35
29,48
29,09
28,31
28,2
28,02
27,97
27,8
28,05
28,31
28,52
28,72
28,91
29,4
29,44
29,75
29,77
29,28
29,51
29,76
29,93
30,5
30,92
31,09
31,48
31,72
32,79
33,45
34,11
34,76
35,28
35,79
36,49
37,25
38,13
38,53
39,2
39,7
40,49
40,66
40,84
41,09
41,21
40,75
40,01
38,43
37,02
34,97
33,01
31
29,35
28,33
27,41
26,65
26,13
26,17
26,67
26,82
27,01
27,21
27,5
27,8
28,07
28,27
28,63
29,81
29,94
30,22
30,58
30,87
31,52
31,95
32,49
33,25
33,57
34
34,37
34,53
35,03
35,59
36,31
36,56
37,05
37,83
39,25
39,24
39,21
38,84
38,69
38,81
39,67
40,72
41,38
40,92
40,12
39,09
38,07
35,51
34,21
32,45
31,24
29,73
28,12
27,52
27,39
27,28
27,57
28,36
28,66
29,52
29,72
30,26
30,96
31,29
32,54
34,08
35,25
35,85
36,87
36,17
36,76
37,47
38,54
38,9
39,63
40,37
41
41,35
41,93
41,81
42,37
42,99
43,67
45
45
45,28
45,5
46,06
46,49
48,14
48,36
49,67
51,12
52,26
53,95
52,89
50,79
48,06
45,76
42,36
39,41
36,53
33,97
32,26
31,2
30,69
30,17
30,01
30,04
30,14
30,47
30,54
30,51
30,76
30,56
30,66
30,81
30,54
30,72
30,91
31,58
